Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	19	2.159090909090909	9.256610773147002E-11	ENSG00000210164, ENSG00000210174, ENSG00000210144, ENSG00000210100, ENSG00000210077, ENSG00000210176, ENSG00000210135, ENSG00000133706, ENSG00000134905, ENSG00000210156, ENSG00000209082, ENSG00000210112, ENSG00000210117, ENSG00000210127, ENSG00000137513, ENSG00000210107, ENSG00000210191, ENSG00000210140, ENSG00000210184	341	66	8205	6.926819514796054	2.73069891143507E-8	2.7307001780783656E-8	2.7307001780783656E-8
GOTERM_CC_DIRECT	GO:0005829~cytosol	251	28.522727272727273	4.570223410687146E-6	ENSG00000178971, ENSG00000104267, ENSG00000198464, ENSG00000156265, ENSG00000133706, ENSG00000111237, ENSG00000196961, ENSG00000152465, ENSG00000088808, ENSG00000004897, ENSG00000206053, ENSG00000123106, ENSG00000168497, ENSG00000084693, ENSG00000100341, ENSG00000183655, ENSG00000108861, ENSG00000025800, ENSG00000171791, ENSG00000276293, ENSG00000137513, ENSG00000179833, ENSG00000145920, ENSG00000119777, ENSG00000100219, ENSG00000119899, ENSG00000186591, ENSG00000120885, ENSG00000133392, ENSG00000251537, ENSG00000182795, ENSG00000123473, ENSG00000104131, ENSG00000105221, ENSG00000141564, ENSG00000213366, ENSG00000132953, ENSG00000121380, ENSG00000110721, ENSG00000171680, ENSG00000044459, ENSG00000002330, ENSG00000198920, ENSG00000075151, ENSG00000178999, ENSG00000177548, ENSG00000111490, ENSG00000164597, ENSG00000053371, ENSG00000115290, ENSG00000105011, ENSG00000033327, ENSG00000164116, ENSG00000103187, ENSG00000134108, ENSG00000099910, ENSG00000176105, ENSG00000131196, ENSG00000178404, ENSG00000110031, ENSG00000164002, ENSG00000086967, ENSG00000100359, ENSG00000149269, ENSG00000100354, ENSG00000188677, ENSG00000140577, ENSG00000140575, ENSG00000221926, ENSG00000213741, ENSG00000285077, ENSG00000135525, ENSG00000175387, ENSG00000090013, ENSG00000074201, ENSG00000137941, ENSG00000196526, ENSG00000132256, ENSG00000140682, ENSG00000167522, ENSG00000167644, ENSG00000164134, ENSG00000166796, ENSG00000124635, ENSG00000182481, ENSG00000167088, ENSG00000153071, ENSG00000074319, ENSG00000177575, ENSG00000153187, ENSG00000116679, ENSG00000115464, ENSG00000134201, ENSG00000186153, ENSG00000101745, ENSG00000107282, ENSG00000288591, ENSG00000254440, ENSG00000144231, ENSG00000154146, ENSG00000153179, ENSG00000165916, ENSG00000179761, ENSG00000165917, ENSG00000174996, ENSG00000198844, ENSG00000180190, ENSG00000005249, ENSG00000084112, ENSG00000100568, ENSG00000162413, ENSG00000185532, ENSG00000277791, ENSG00000143376, ENSG00000182149, ENSG00000197183, ENSG00000105205, ENSG00000212864, ENSG00000105568, ENSG00000124181, ENSG00000103942, ENSG00000150456, ENSG00000196415, ENSG00000088826, ENSG00000121236, ENSG00000123415, ENSG00000140416, ENSG00000148498, ENSG00000024422, ENSG00000072864, ENSG00000072062, ENSG00000065534, ENSG00000119487, ENSG00000138434, ENSG00000120907, ENSG00000166233, ENSG00000126457, ENSG00000126215, ENSG00000186642, ENSG00000167207, ENSG00000233276, ENSG00000126456, ENSG00000176390, ENSG00000126214, ENSG00000162434, ENSG00000105982, ENSG00000131016, ENSG00000113924, ENSG00000136026, ENSG00000105507, ENSG00000153944, ENSG00000150672, ENSG00000156535, ENSG00000172915, ENSG00000153815, ENSG00000167693, ENSG00000122786, ENSG00000089177, ENSG00000140992, ENSG00000161911, ENSG00000174791, ENSG00000196588, ENSG00000176731, ENSG00000157851, ENSG00000169083, ENSG00000166135, ENSG00000267060, ENSG00000148346, ENSG00000127527, ENSG00000103479, ENSG00000126432, ENSG00000105650, ENSG00000184922, ENSG00000125351, ENSG00000126561, ENSG00000154330, ENSG00000149782, ENSG00000073146, ENSG00000010292, ENSG00000169891, ENSG00000111640, ENSG00000106617, ENSG00000204120, ENSG00000173113, ENSG00000178921, ENSG00000055163, ENSG00000134184, ENSG00000158373, ENSG00000101049, ENSG00000032742, ENSG00000182732, ENSG00000104671, ENSG00000070669, ENSG00000108669, ENSG00000101470, ENSG00000130598, ENSG00000159339, ENSG00000170776, ENSG00000130595, ENSG00000119446, ENSG00000205726, ENSG00000103657, ENSG00000165506, ENSG00000165501, ENSG00000154310, ENSG00000239900, ENSG00000131459, ENSG00000197442, ENSG00000111142, ENSG00000169679, ENSG00000162482, ENSG00000143545, ENSG00000141485, ENSG00000118007, ENSG00000006062, ENSG00000155085, ENSG00000147465, ENSG00000160188, ENSG00000121774, ENSG00000166963, ENSG00000067177, ENSG00000196262, ENSG00000172175, ENSG00000104765, ENSG00000110887, ENSG00000139946, ENSG00000113356, ENSG00000197903, ENSG00000166971, ENSG00000188089, ENSG00000174903, ENSG00000134371, ENSG00000027075, ENSG00000102900, ENSG00000204852, ENSG00000090621, ENSG00000167705, ENSG00000128266, ENSG00000129235, ENSG00000077549, ENSG00000129354, ENSG00000239920, ENSG00000050748, ENSG00000176783, ENSG00000179134, ENSG00000290918, ENSG00000115760, ENSG00000166747, ENSG00000147202, ENSG00000161970, ENSG00000167716, ENSG00000149503	732	5520	20580	1.2784063910667616	0.0027155952255731863	0.002719282929358852	0.0027055722591267906
UP_KW_DOMAIN	KW-0175~Coiled coil	139	15.795454545454547	6.0643981617086815E-6	ENSG00000111913, ENSG00000102362, ENSG00000128596, ENSG00000072864, ENSG00000184619, ENSG00000156265, ENSG00000162825, ENSG00000105877, ENSG00000196562, ENSG00000154240, ENSG00000138834, ENSG00000132970, ENSG00000088808, ENSG00000198900, ENSG00000138434, ENSG00000176953, ENSG00000188385, ENSG00000100629, ENSG00000123106, ENSG00000168497, ENSG00000169629, ENSG00000141854, ENSG00000039523, ENSG00000012048, ENSG00000176390, ENSG00000106443, ENSG00000126214, ENSG00000130203, ENSG00000270629, ENSG00000136026, ENSG00000004487, ENSG00000173457, ENSG00000132466, ENSG00000132740, ENSG00000145920, ENSG00000100219, ENSG00000158270, ENSG00000120885, ENSG00000133392, ENSG00000123636, ENSG00000091009, ENSG00000015568, ENSG00000089177, ENSG00000104131, ENSG00000154188, ENSG00000178115, ENSG00000044459, ENSG00000196588, ENSG00000159873, ENSG00000198920, ENSG00000172530, ENSG00000075151, ENSG00000283632, ENSG00000177548, ENSG00000172889, ENSG00000183273, ENSG00000169641, ENSG00000182463, ENSG00000273559, ENSG00000127527, ENSG00000127920, ENSG00000162614, ENSG00000110719, ENSG00000099917, ENSG00000164116, ENSG00000109689, ENSG00000104679, ENSG00000169891, ENSG00000178404, ENSG00000159625, ENSG00000144655, ENSG00000165972, ENSG00000010295, ENSG00000100359, ENSG00000277363, ENSG00000100354, ENSG00000275740, ENSG00000258588, ENSG00000187867, ENSG00000140575, ENSG00000221926, ENSG00000108669, ENSG00000130598, ENSG00000135525, ENSG00000151693, ENSG00000140836, ENSG00000137941, ENSG00000174576, ENSG00000151575, ENSG00000196526, ENSG00000170776, ENSG00000133740, ENSG00000132256, ENSG00000205726, ENSG00000183054, ENSG00000184702, ENSG00000188626, ENSG00000074319, ENSG00000053918, ENSG00000197442, ENSG00000115468, ENSG00000171634, ENSG00000008128, ENSG00000174744, ENSG00000118007, ENSG00000151838, ENSG00000204104, ENSG00000158352, ENSG00000155085, ENSG00000256500, ENSG00000261649, ENSG00000153179, ENSG00000131149, ENSG00000108848, ENSG00000099204, ENSG00000072121, ENSG00000165917, ENSG00000174996, ENSG00000176927, ENSG00000230667, ENSG00000100568, ENSG00000185532, ENSG00000102984, ENSG00000167705, ENSG00000182149, ENSG00000215186, ENSG00000261794, ENSG00000133739, ENSG00000176783, ENSG00000103942, ENSG00000196498, ENSG00000115760, ENSG00000121236, ENSG00000203872, ENSG00000140416, ENSG00000147202, ENSG00000148498, ENSG00000070985, ENSG00000275023	524	2705	14486	1.4205768226778233	1.5766240028480816E-4	1.576743522044257E-4	1.576743522044257E-4
GOTERM_MF_DIRECT	GO:0003779~actin binding	28	3.1818181818181817	1.1970057452710537E-4	ENSG00000101470, ENSG00000130598, ENSG00000130755, ENSG00000099204, ENSG00000065534, ENSG00000196588, ENSG00000130592, ENSG00000132970, ENSG00000138434, ENSG00000196526, ENSG00000130595, ENSG00000141298, ENSG00000084112, ENSG00000184361, ENSG00000167207, ENSG00000184922, ENSG00000103187, ENSG00000077549, ENSG00000153187, ENSG00000173210, ENSG00000103942, ENSG00000086967, ENSG00000140416, ENSG00000147202, ENSG00000188677, ENSG00000122786, ENSG00000166963, ENSG00000163995	687	339	18908	2.2732499474007377	0.09944520961240966	0.08729960550285505	0.08729960550285505
GOTERM_MF_DIRECT	GO:0042393~histone binding	19	2.159090909090909	1.9954195543509727E-4	ENSG00000163935, ENSG00000111875, ENSG00000136938, ENSG00000141858, ENSG00000010292, ENSG00000173575, ENSG00000111642, ENSG00000282034, ENSG00000080603, ENSG00000143401, ENSG00000230667, ENSG00000187634, ENSG00000275023, ENSG00000105011, ENSG00000124177, ENSG00000185513, ENSG00000277611, ENSG00000106443, ENSG00000124795	687	190	18908	2.7522561863173216	0.16022109763180348	0.08729960550285505	0.08729960550285505
GOTERM_BP_DIRECT	GO:0006897~endocytosis	19	2.159090909090909	4.174323933165491E-4	ENSG00000177575, ENSG00000177675, ENSG00000024422, ENSG00000176783, ENSG00000174791, ENSG00000169891, ENSG00000196961, ENSG00000134013, ENSG00000244486, ENSG00000177548, ENSG00000166377, ENSG00000197959, ENSG00000205726, ENSG00000086300, ENSG00000205403, ENSG00000127527, ENSG00000108774, ENSG00000070018, ENSG00000090659	681	208	19333	2.5932381678527054	0.7265990005090861	1.0	1.0
GOTERM_CC_DIRECT	GO:0031093~platelet alpha granule lumen	10	1.1363636363636365	5.801048422978584E-4	ENSG00000124491, ENSG00000113140, ENSG00000197461, ENSG00000120885, ENSG00000163737, ENSG00000100568, ENSG00000163736, ENSG00000167711, ENSG00000106366, ENSG00000138798	732	67	20580	4.196231954979202	0.2919655548192618	0.13666444909016967	0.13597538464097556
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	46	5.227272727272727	6.890644491941328E-4	ENSG00000024422, ENSG00000135525, ENSG00000172175, ENSG00000165915, ENSG00000141429, ENSG00000171680, ENSG00000072062, ENSG00000138834, ENSG00000088808, ENSG00000005249, ENSG00000170776, ENSG00000080603, ENSG00000166377, ENSG00000166135, ENSG00000174903, ENSG00000117298, ENSG00000184361, ENSG00000100568, ENSG00000153071, ENSG00000126215, ENSG00000186642, ENSG00000054967, ENSG00000126432, ENSG00000105650, ENSG00000154310, ENSG00000196296, ENSG00000135916, ENSG00000176046, ENSG00000148175, ENSG00000137413, ENSG00000136026, ENSG00000111640, ENSG00000173113, ENSG00000113742, ENSG00000132386, ENSG00000110031, ENSG00000171634, ENSG00000084764, ENSG00000197959, ENSG00000120885, ENSG00000055163, ENSG00000107282, ENSG00000166747, ENSG00000168329, ENSG00000210082, ENSG00000161610	732	766	20580	1.688353379274922	0.33643911637347534	0.13666444909016967	0.13597538464097556
SMART	SM00028:TPR	14	1.5909090909090908	0.0010792224194070554	ENSG00000197860, ENSG00000165917, ENSG00000174996, ENSG00000174521, ENSG00000105948, ENSG00000004897, ENSG00000168026, ENSG00000164134, ENSG00000183054, ENSG00000256500, ENSG00000169629, ENSG00000015568, ENSG00000032742, ENSG00000126214	381	132	10379	2.8892467986956176	0.24884884648063132	0.2859939411428697	0.2859939411428697
GOTERM_MF_DIRECT	GO:0060090~binding, bridging	16	1.8181818181818181	0.0012145461174722467	ENSG00000198010, ENSG00000149782, ENSG00000176046, ENSG00000171791, ENSG00000197860, ENSG00000066336, ENSG00000105968, ENSG00000119487, ENSG00000169083, ENSG00000170776, ENSG00000170579, ENSG00000205726, ENSG00000149269, ENSG00000115290, ENSG00000184702, ENSG00000140575	687	168	18908	2.6211963679212587	0.6547110726347278	0.354242617596072	0.354242617596072
